full_item,stage1_code,stage2_code,combined_target,combine_text,category_stage1,category_stage2,category_combined
Scope of work includes furnishing and connecting of ductwork insulation wrap and lining for data center precision air distribution. Duct leakage testing per SMACNA Class A seal requirement.,23,30,23 30,scope work include furnish connect ductwork insulation wrap lining datum center precision air distribution duct leakage testing smacna class seal requirement,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
"Quotation for polished concrete floor with densifier and sealer for lobby, corridors and common areas. Includes all floor preparation, leveling and patching. per project specification Section 09 60 00.",09,60,09 60,quotation polished concrete floor densifier sealer lobby corridor common area include floor preparation leveling patch project specification section,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
Subcontractor bid for evaporative condenser for refrigeration. Location: for data center and server room cooling. Controls: BACnet compatible DDC for building automation integration.,23,60,23 60,subcontractor bid evaporative condenser refrigeration location datum center server room cool control bacnet compatible ddc building automation integration,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
PROJECT PROPOSAL: Scope of work includes delivery and wiring of explosion-proof lighting for hazardous locations for exterior site and building-mounted lighting. Emergency fixtures with 90-minute battery backup per code.,26,50,26 50,project proposal scope work include delivery wiring explosion proof light hazardous location exterior site building mount light emergency fixture minute battery backup code,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
"BID ITEM: Subcontractor bid for diesel emergency standby generator 500 kW. Location: for main electrical service and distribution. Includes circuit breakers, fuses and all internal components.",26,20,26 20,bid item subcontractor bid diesel emergency standby generator kw location main electrical service distribution include circuit breaker fuse internal component,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
Subcontractor bid for packaged rooftop air conditioning unit 25-ton. Location: for data center and server room cooling. Vibration isolation pads and curb adapter included.,23,60,23 60,subcontractor bid package rooftop air conditioning unit ton location datum center server room cool vibration isolation pad curb adapter include,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
"Provide all labor, materials and equipment for standing seam metal roof panels 24-gauge for green roof system over parking structure. per project specification Section 07 50 00. Insulation R-30 minimum per energy code, tapered for drainage.",07,50,07 50,provide labor material equipment stand seam metal roof panel gauge green roof system parking structure project specification section insulation r minimum energy code taper drainage,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
"PROJECT PROPOSAL: Provide all labor, materials and equipment for exposed aggregate decorative concrete for elevated concrete slabs at all levels. per ACI 318 and ACI 301 specifications. Concrete to be cured with wet burlap and plastic sheeting for 7 days.",03,30,03 30,project proposal provide labor material equipment expose aggregate decorative concrete elevated concrete slab level aci aci specification concrete cure wet burlap plastic sheet day,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
"Provide all labor, materials and equipment for domestic water booster pump station for restroom and kitchen plumbing rough-in. per Uniform Plumbing Code (UPC). Piping to be pressure tested at 1.5x operating pressure.",22,10,22 10,provide labor material equipment domestic water booster pump station restroom kitchen plumb rough uniform plumb code upc piping pressure test x operating pressure,category_stage1_06,category_stage2_002,category_stage1_06__category_stage2_002
Furnish and install roofing penetration flashings and pitch pockets as indicated on drawings and per project specification Section 07 50 00. Remove existing roofing to deck and install new system complete.,07,50,07 50,furnish install roofing penetration flashing pitch pocket indicate drawing project specification section remove exist roofing deck install new system complete,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
Subcontractor bid for rebar dowels and starter bars. Location: for concrete columns and beams. Bar supports at maximum 4-foot spacing.,03,20,03 20,subcontractor bid rebar dowel starter bar location concrete column beam bar support maximum foot spacing,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
furnishing and laying of sheet vinyl flooring for healthcare corridors including all necessary accessories and hardware. per manufacturer installation instructions.,09,60,09 60,furnish laying sheet vinyl flooring healthcare corridor include necessary accessory hardware manufacturer installation instruction,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
